"date","energy_label","main_refinancing_rate"
2022-06-28,"≥A",0
2022-07-27,NA,0.5
2022-08-16,"≥A",0.5
2022-08-26,"≥A",0.5
2022-08-26,"≥A",0.5
2022-08-30,"≥A",0.5
2022-09-01,"≥A",0.5
2022-09-04,"≥A",0.5
2022-09-07,"≥A",0.5
2022-09-08,"≥A",0.5
2022-09-08,"≥A",0.5
2022-09-10,"≥A",0.5
2022-09-14,"≥A",1.25
2022-09-16,"≥A",1.25
2022-09-20,"≥A",1.25
2022-09-21,"≥A",1.25
2022-10-02,"≥A",1.25
2022-10-05,"≥A",1.25
2022-10-10,"≥A",1.25
2022-10-11,"≥A",1.25
2022-10-19,"≥A",1.25
2022-10-24,"≥A",1.25
2022-11-02,NA,2
2022-11-11,"≥A",2
2022-11-17,"≥A",2
2022-11-17,"≥A",2
2022-11-17,"≥A",2
2022-11-18,"≥A",2
2022-11-18,"≥A",2
2022-11-21,"≥A",2
2022-11-23,"≥A",2
2022-12-02,"≥A",2
2022-12-02,"≥A",2
2022-12-02,"≥A",2
2022-12-02,"≥A",2
2022-12-02,"≥A",2
2022-12-02,"≥A",2
2022-12-02,"≥A",2
2022-12-02,"≥A",2
2022-12-02,"≥A",2
2022-12-02,"≥A",2
2022-12-02,"≥A",2
2022-12-02,"≥A",2
2022-12-02,"≥A",2
2022-12-02,"≥A",2
2022-12-02,"≥A",2
2022-12-02,"≥A",2
2022-12-08,"≥A",2
2022-12-09,"≥A",2
2022-12-12,"≥A",2
2022-12-12,"≥A",2
2022-12-12,"≥A",2
2022-12-14,"≥A",2
2022-12-16,"≥A",2
2022-12-19,"≥A",2
2022-12-21,NA,2.5
2022-12-27,"≥A",2.5
2022-12-27,"≥A",2.5
2022-12-27,"≥A",2.5
2022-12-27,"≥A",2.5
2022-12-30,"≥A",2.5
2023-01-04,"≥A",2.5
2023-01-05,"≥A",2.5
2023-01-07,"≥A",2.5
2023-01-11,"≥A",2.5
2023-01-12,"≥A",2.5
2023-01-12,"≥A",2.5
2023-01-13,"≥A",2.5
2023-01-18,"≥A",2.5
2023-01-23,"≥A",2.5
2023-01-25,"≥A",2.5
2023-01-30,"≥A",2.5
2023-01-30,"≥A",2.5
2023-02-01,"≥A",2.5
2023-02-01,"≥A",2.5
2023-02-02,"≥A",2.5
2023-02-02,"≥A",2.5
2023-02-03,"≥A",2.5
2023-02-06,"≥A",2.5
2023-02-06,"≥A",2.5
2023-02-08,NA,3
2023-02-09,"≥A",3
2023-02-09,"≥A",3
2023-02-09,"≥A",3
2023-02-10,"≥A",3
2023-02-10,"≥A",3
2023-02-11,"≥A",3
2023-02-14,"≥A",3
2023-02-16,"≥A",3
2023-02-21,"≥A",3
2023-02-21,"≥A",3
2023-02-21,"≥A",3
2023-02-22,"≥A",3
2023-02-23,"≥A",3
2023-02-25,"≥A",3
2023-02-27,"≥A",3
2023-03-01,"≥A",3
2023-03-01,"≥A",3
2023-03-01,"≥A",3
2023-03-06,"≥A",3
2023-03-07,"≥A",3
2023-03-07,"≥A",3
2023-03-08,"≥A",3
2023-03-09,"≥A",3
2023-03-09,"≥A",3
2023-03-09,"≥A",3
2023-03-10,"≥A",3
2023-03-10,"≥A",3
2023-03-13,"≥A",3
2023-03-15,"≥A",3
2023-03-16,"≥A",3
2023-03-17,"≥A",3
2023-03-18,"≥A",3
2023-03-20,"≥A",3
2023-03-21,"≥A",3
2023-03-21,"≥A",3
